seq_len,topk,sparsity_pct,mse_tri,mse_rand,mse_ratio,agree_tri,agree_rand,agree_gap
1024,16,1.5625,4.4169392585754395,6.2034406661987305,0.7120144281612028,0.1552734375,0.078125,0.0771484375
1024,32,3.125,4.367457389831543,6.852086067199707,0.6373909123439286,0.15234375,0.091796875,0.060546875
1024,64,6.25,4.32967472076416,28.666183471679688,0.15103771051495554,0.224609375,0.0703125,0.154296875
1024,128,12.5,4.132200241088867,5.57030725479126,0.7418262677583153,0.193359375,0.1396484375,0.0537109375
1024,256,25.0,4.755965709686279,12.796957015991211,0.37164817415133733,0.5966796875,0.3115234375,0.28515625
1024,512,50.0,3.418012857437134,4.020511627197266,0.8501437564103902,0.8056640625,0.4716796875,0.333984375
2048,16,0.78125,5.185943126678467,11.966340065002441,0.4333775489003211,0.1591796875,0.0693359375,0.08984375
2048,32,1.5625,4.471679210662842,5.245960235595703,0.8524043282526067,0.1826171875,0.08740234375,0.09521484375
2048,64,3.125,4.158377170562744,10.628243446350098,0.39125723752505825,0.19384765625,0.07177734375,0.1220703125
2048,128,6.25,3.9533276557922363,6.54743766784668,0.6037976772511079,0.1865234375,0.09423828125,0.09228515625
2048,256,12.5,4.343303680419922,4.499977111816406,0.9651835048260404,0.39404296875,0.14501953125,0.2490234375
2048,512,25.0,4.270225524902344,6.634284973144531,0.6436602500779122,0.49267578125,0.3427734375,0.14990234375
